temp,hum,soilmoisture,rain,ph
29,85,78,"No Rain",7
30,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,84,82,"No Rain",7
29,84,79,"No Rain",7
29,84,80,"No Rain",7
30,84,79,"No Rain",7
30,84,79,"No Rain",7
29,84,81,"No Rain",7
29,84,80,"No Rain",7
29,85,83,"No Rain",7
29,85,82,"No Rain",7
30,85,84,"No Rain",7
30,85,83,"No Rain",7
29,85,84,"No Rain",7
29,85,84,"No Rain",7
29,85,82,"No Rain",7
29,85,84,"No Rain",7
29,85,80,"No Rain",7
29,85,82,"No Rain",7
30,85,79,"No Rain",7
30,85,80,"No Rain",7
29,85,80,"No Rain",7
29,85,80,"No Rain",7
29,85,82,"No Rain",7
29,85,81,"No Rain",7
29,85,84,"No Rain",7
29,85,83,"No Rain",7
29,85,85,"No Rain",7
29,85,84,"No Rain",7
29,84,84,"No Rain",7
29,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,83,"No Rain",7
29,84,80,"No Rain",7
29,84,81,"No Rain",7
29,84,80,"No Rain",7
29,84,80,"No Rain",7
29,84,81,"No Rain",7
29,84,79,"No Rain",7
29,84,82,"No Rain",7
29,84,81,"No Rain",7
29,84,84,"No Rain",7
29,84,83,"No Rain",7
29,84,84,"No Rain",7
29,84,84,"No Rain",7
29,84,83,"No Rain",7
29,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,83,"No Rain",7
29,84,80,"No Rain",7
29,84,82,"No Rain",7
29,84,79,"No Rain",7
29,84,80,"No Rain",7
29,84,79,"No Rain",7
29,84,79,"No Rain",7
29,85,81,"No Rain",7
29,85,80,"No Rain",7
29,85,82,"No Rain",7
29,85,81,"No Rain",7
29,85,84,"No Rain",7
29,85,83,"No Rain",7
29,85,84,"No Rain",7
29,85,84,"No Rain",7
29,85,82,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,80,"No Rain",7
29,85,81,"No Rain",7
30,85,80,"No Rain",7
30,85,80,"No Rain",7
29,85,81,"No Rain",7
29,85,80,"No Rain",7
29,85,83,"No Rain",7
29,85,82,"No Rain",7
29,85,84,"No Rain",7
29,85,84,"No Rain",7
29,85,83,"No Rain",7
29,85,84,"No Rain",7
29,85,82,"No Rain",7
29,85,83,"No Rain",7
29,85,80,"No Rain",7
29,85,82,"No Rain",7
29,85,80,"No Rain",7
29,85,80,"No Rain",7
29,85,79,"Light Rain",7
29,85,80,"No Rain",7
29,85,80,"No Rain",7
29,85,80,"No Rain",7
29,85,81,"No Rain",7
29,85,80,"No Rain",7
29,85,82,"No Rain",7
29,85,81,"No Rain",7
29,85,82,"No Rain",7
29,85,80,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,81,"No Rain",7
29,85,83,"No Rain",7
29,85,82,"No Rain",7
29,85,83,"No Rain",7
29,85,82,"No Rain",7
29,85,84,"No Rain",7
29,85,82,"No Rain",7
29,85,84,"No Rain",7
29,85,83,"No Rain",7
29,85,84,"No Rain",7
29,85,83,"No Rain",7
29,85,85,"No Rain",7
29,85,84,"No Rain",7
29,85,85,"No Rain",7
29,85,84,"No Rain",7
29,85,85,"No Rain",7
29,85,85,"No Rain",7
29,86,85,"Light Rain",7
29,86,85,"No Rain",7
29,86,85,"No Rain",7
29,86,86,"No Rain",7
29,85,85,"No Rain",7
29,85,86,"No Rain",7
29,85,85,"No Rain",7
29,85,86,"No Rain",7
29,85,84,"No Rain",7
29,85,86,"No Rain",7
29,85,84,"No Rain",7
29,85,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
30,84,83,"Light Rain",7
30,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
29,84,83,"No Rain",7
29,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,84,"No Rain",7
30,84,82,"No Rain",7
30,84,84,"No Rain",7
29,84,82,"No Rain",7
29,84,84,"No Rain",7
29,84,83,"No Rain",7
29,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
30,84,83,"No Rain",7
30,84,85,"No Rain",7
30,84,83,"Light Rain",7
30,84,84,"No Rain",7
30,84,82,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,83,"No Rain",7
30,84,84,"No Rain",7
30,84,82,"No Rain",7
30,84,84,"No Rain",7
30,84,82,"No Rain",7
