ID,Predicted Value
1,14
2,10
3,10
4,10
5,10
6,0
7,10
8,10
9,10
10,14
11,10
12,14
13,14
14,10
15,10
16,10
17,10
18,14
19,10
20,10
21,10
22,14
23,14
24,10
25,10
26,10
27,14
28,10
29,14
30,10
31,7
32,14
33,10
34,10
35,10
36,14
37,14
38,10
39,10
40,10
41,14
42,14
43,10
44,14
45,10
46,10
47,14
48,10
49,10
50,14
51,14
52,10
53,10
54,10
55,14
56,10
57,10
58,10
59,14
60,14
61,10
62,10
63,10
64,14
65,10
66,10
67,10
68,10
69,11
70,10
71,14
72,14
73,10
74,10
75,14
76,10
77,10
78,10
79,10
80,10
81,14
82,10
83,14
84,14
85,14
86,10
87,14
88,0
89,13
90,10
91,10
92,10
93,14
94,14
95,14
96,7
97,10
98,11
99,10
100,10
101,10
102,10
103,10
104,10
105,14
106,14
107,10
108,11
109,10
110,10
111,14
112,14
113,10
114,7
115,10
116,7
117,10
118,10
119,7
120,14
121,14
122,14
123,10
124,10
125,10
126,10
127,10
128,14
129,14
130,10
131,10
132,14
133,7
134,14
135,10
136,14
137,11
138,10
139,10
140,10
141,14
142,10
143,14
144,10
145,7
146,10
147,10
148,10
149,10
150,14
151,10
152,10
153,10
154,10
155,10
156,10
157,14
158,14
159,14
160,14
161,14
162,10
163,10
164,10
165,14
166,10
167,14
168,10
169,14
170,10
171,10
172,11
173,10
174,14
175,14
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,7
186,14
187,10
188,10
189,11
190,0
191,14
192,11
193,11
194,10
195,10
196,10
197,10
198,7
199,11
200,0
201,10
202,10
203,14
204,10
205,10
206,10
207,13
208,14
209,10
210,10
211,14
212,14
213,14
214,14
215,11
216,10
217,14
218,14
219,0
220,0
221,14
222,10
223,14
224,10
225,10
226,14
227,10
228,10
229,14
230,0
231,10
232,10
233,10
234,14
235,14
236,10
237,14
238,10
239,14
240,10
241,10
242,0
243,10
244,0
245,10
246,10
247,10
248,11
249,14
250,14
251,0
252,14
253,14
254,10
255,10
256,14
257,14
258,14
259,10
260,14
261,14
262,14
263,14
264,10
265,10
266,14
267,10
268,10
269,10
270,14
271,14
272,14
273,14
274,7
275,10
276,10
277,10
278,14
279,10
280,10
281,10
282,10
283,10
284,10
285,14
286,14
287,14
288,10
289,10
290,14
291,14
292,10
293,10
294,10
295,14
296,10
297,10
298,10
299,0
300,14
301,14
302,10
303,14
304,14
305,10
306,14
307,10
308,14
309,10
310,10
311,10
312,10
313,10
314,10
315,10
316,11
317,10
318,10
319,10
320,7
321,10
322,14
323,10
324,14
325,10
326,14
327,14
328,10
329,10
330,14
331,7
332,0
333,10
334,14
335,10
336,10
337,10
338,14
339,10
340,10
341,10
342,10
343,10
344,10
345,14
346,10
347,14
348,14
349,14
350,14
351,10
352,10
353,10
354,14
355,14
356,10
357,0
358,14
359,10
360,10
361,10
362,14
363,10
364,10
365,10
366,10
367,10
368,14
369,10
370,0
371,14
372,10
373,10
374,10
375,10
376,14
377,14
378,10
379,14
380,14
381,10
382,10
383,10
384,10
385,14
386,0
387,10
388,14
389,10
390,10
391,10
392,14
393,14
394,14
395,14
396,10
397,14
398,10
399,0
400,10
401,10
402,11
403,11
404,14
405,10
406,14
407,14
408,10
409,11
410,7
411,10
412,7
413,14
414,10
415,10
416,14
417,14
418,14
419,14
420,10
421,7
422,14
423,10
424,10
425,14
426,14
427,10
428,10
429,10
430,11
431,14
432,10
433,10
434,10
435,14
436,10
437,14
438,14
439,14
440,14
441,10
442,10
443,10
444,14
445,14
446,10
447,10
448,10
449,10
450,10
451,10
452,10
453,10
454,14
455,14
456,0
457,14
458,14
459,7
460,10
461,10
462,10
463,10
464,10
465,10
466,10
467,10
468,10
469,14
470,10
471,10
472,14
473,14
474,10
475,10
476,10
477,10
478,10
479,10
480,10
481,14
482,10
483,14
484,7
485,10
486,10
487,14
488,0
489,14
490,14
491,10
492,10
493,10
494,14
495,7
496,14
497,10
498,10
499,0
500,14
501,14
502,14
503,10
504,10
505,11
506,10
507,10
508,7
509,10
510,14
511,7
512,11
513,10
514,10
515,10
516,14
517,0
518,10
519,10
520,10
521,10
522,10
523,0
524,14
525,14
526,11
527,7
528,10
529,10
530,10
531,10
532,10
533,14
534,10
535,11
536,14
537,10
538,0
539,14
540,10
541,10
542,10
543,10
544,0
545,10
546,0
547,7
548,7
549,10
550,10
551,10
552,10
553,10
554,10
555,14
556,0
557,10
558,14
559,10
560,10
561,14
562,14
563,10
564,10
565,11
566,14
567,10
568,14
569,10
570,0
571,10
572,14
573,10
574,0
575,10
576,10
577,0
578,0
579,10
580,14
581,10
582,14
583,10
584,14
585,10
586,7
587,14
588,10
589,14
590,10
591,10
592,10
593,10
594,10
595,10
596,14
597,10
598,10
599,10
600,10
601,10
602,14
603,14
604,10
605,10
606,11
607,10
608,10
609,10
610,10
611,0
612,14
613,10
614,10
615,14
616,11
617,10
618,10
619,10
620,10
621,10
622,10
623,14
624,10
625,14
626,7
627,10
628,14
629,7
630,10
631,10
632,10
633,14
634,10
635,11
636,13
637,10
638,14
639,14
640,14
641,14
642,14
643,7
644,11
645,10
646,14
647,14
648,14
649,10
650,10
651,11
652,14
653,14
654,10
655,10
656,10
657,14
658,0
659,10
660,14
661,10
662,10
663,10
664,11
665,14
666,10
667,14
668,10
669,10
670,10
671,10
672,10
673,14
674,10
675,10
676,10
677,10
678,10
679,10
680,14
681,14
682,10
683,10
684,14
685,10
686,10
687,14
688,14
689,10
690,0
691,14
692,10
693,11
694,10
695,10
696,10
697,14
698,14
699,11
700,14
701,10
702,14
703,10
704,0
705,14
706,10
707,10
708,0
709,0
710,10
711,10
712,14
713,14
714,10
715,14
716,10
717,14
718,14
719,10
720,14
721,10
722,10
723,14
724,10
725,10
726,10
727,14
728,10
729,10
730,14
731,14
732,14
733,10
734,10
735,10
736,7
737,11
738,10
739,10
740,14
741,11
742,10
743,10
744,7
745,14
746,10
747,14
748,10
749,14
750,10
751,0
752,14
753,10
754,10
755,14
756,0
757,10
758,7
759,14
760,14
761,14
762,10
763,10
764,10
765,10
766,14
767,10
768,14
769,10
770,11
771,0
772,14
773,14
774,10
775,10
776,10
777,10
778,14
779,10
780,10
781,10
782,10
783,0
784,10
785,14
786,10
787,10
788,0
789,10
790,10
791,10
792,0
793,10
794,10
795,14
796,10
797,10
798,10
799,11
800,10
801,10
802,10
803,10
804,10
805,10
806,14
807,14
808,10
809,10
810,10
811,10
812,10
813,14
814,10
815,14
816,10
817,10
818,14
819,14
820,10
821,11
822,10
823,10
824,14
825,14
826,7
827,14
828,14
829,0
830,14
831,10
832,10
833,10
834,10
835,0
836,14
837,10
838,10
839,10
840,10
841,10
842,10
843,14
844,10
845,10
846,11
847,10
848,10
849,14
850,0
851,10
852,10
853,14
854,10
855,14
856,11
857,10
858,10
859,10
860,10
861,10
862,10
863,7
864,7
865,14
866,10
867,10
868,0
869,10
870,10
871,10
872,11
873,10
874,14
875,10
876,10
877,10
878,10
879,14
880,10
881,10
882,7
883,10
884,10
885,14
886,14
887,10
888,14
889,14
890,10
891,14
892,10
893,11
894,10
895,14
896,14
897,10
898,10
899,10
900,0
901,10
902,10
903,14
904,14
905,14
906,11
907,14
908,10
909,14
910,14
911,14
912,10
913,10
914,7
915,14
916,10
917,14
918,10
919,14
920,10
921,14
922,14
923,14
924,0
925,14
926,10
927,10
928,10
929,10
930,14
931,7
932,10
933,10
934,7
935,10
936,10
937,7
938,10
939,14
940,7
941,10
942,10
943,10
944,14
945,10
946,10
947,0
948,10
949,10
950,14
951,10
952,14
953,10
954,10
955,14
956,10
957,14
958,10
959,10
960,14
961,14
962,10
963,10
964,14
965,14
966,10
967,14
968,13
969,10
970,10
971,10
972,14
973,14
974,10
975,14
976,10
977,14
978,10
979,10
980,14
981,14
982,10
983,10
984,10
985,10
986,10
987,10
988,10
989,0
990,11
991,10
992,10
993,10
994,10
995,14
996,11
997,10
998,10
999,11
1000,10
1001,10
1002,10
1003,14
1004,11
1005,10
1006,10
1007,0
1008,10
1009,14
1010,14
1011,14
1012,9
1013,11
1014,10
1015,10
1016,14
1017,0
1018,10
1019,10
1020,10
1021,10
1022,14
1023,14
1024,14
1025,10
1026,14
1027,10
1028,10
1029,10
1030,0
1031,14
1032,10
1033,11
1034,14
1035,10
1036,14
1037,10
1038,10
1039,0
1040,10
1041,10
1042,11
1043,10
1044,10
1045,11
1046,10
1047,14
1048,10
1049,0
1050,14
1051,14
1052,10
1053,14
1054,10
1055,14
1056,14
1057,14
1058,14
1059,10
1060,14
1061,10
1062,10
1063,10
1064,14
1065,10
1066,10
1067,10
1068,14
1069,14
1070,0
1071,10
1072,10
1073,10
1074,10
1075,10
1076,10
1077,14
1078,10
1079,10
1080,10
1081,14
1082,10
1083,14
1084,10
1085,10
1086,10
1087,14
1088,14
1089,0
1090,10
1091,10
1092,14
1093,10
1094,14
1095,10
1096,10
1097,10
1098,10
1099,0
1100,14
1101,14
1102,10
1103,14
1104,14
1105,10
1106,0
1107,14
1108,14
1109,0
1110,7
1111,10
1112,10
1113,10
1114,14
1115,14
1116,10
1117,10
1118,10
1119,10
1120,14
1121,14
1122,14
1123,10
1124,11
1125,14
1126,14
1127,10
1128,14
1129,10
1130,10
1131,14
1132,10
1133,14
1134,14
1135,10
1136,11
1137,14
1138,10
1139,14
1140,14
1141,10
1142,10
1143,10
1144,14
1145,10
1146,10
1147,10
1148,10
1149,14
1150,0
1151,14
1152,10
1153,14
1154,14
1155,10
1156,14
1157,10
1158,14
1159,10
1160,11
1161,14
1162,7
1163,10
1164,10
1165,10
1166,14
1167,10
1168,10
1169,11
1170,10
1171,10
1172,0
1173,10
1174,11
1175,10
1176,10
1177,10
1178,10
1179,0
1180,10
1181,11
1182,10
1183,10
1184,10
1185,10
1186,10
1187,14
1188,10
1189,10
1190,14
1191,14
1192,14
1193,14
1194,14
1195,10
1196,10
1197,10
1198,11
1199,10
1200,10
1201,10
1202,14
1203,14
1204,14
1205,10
1206,11
1207,9
1208,10
1209,14
1210,10
1211,10
1212,0
1213,14
1214,10
1215,10
1216,14
1217,10
1218,11
1219,10
1220,14
1221,14
1222,14
1223,10
1224,14
1225,10
1226,10
1227,10
1228,14
1229,10
1230,10
1231,14
1232,14
1233,10
1234,11
1235,14
1236,10
1237,14
1238,0
1239,10
1240,0
1241,10
1242,7
1243,10
1244,10
1245,11
1246,10
1247,0
1248,14
1249,10
1250,14
1251,14
1252,10
1253,10
1254,10
1255,10
1256,14
1257,0
1258,10
1259,0
1260,10
