ID,Predicted Value
1,0
2,14
3,14
4,10
5,10
6,10
7,10
8,10
9,14
10,10
11,10
12,10
13,10
14,14
15,14
16,14
17,10
18,10
19,14
20,14
21,10
22,10
23,10
24,14
25,14
26,14
27,10
28,10
29,10
30,14
31,10
32,14
33,10
34,14
35,10
36,14
37,10
38,10
39,10
40,14
41,10
42,10
43,10
44,0
45,10
46,10
47,7
48,10
49,10
50,10
51,14
52,10
53,14
54,10
55,0
56,10
57,10
58,7
59,10
60,14
61,14
62,10
63,14
64,10
65,10
66,14
67,7
68,14
69,0
70,14
71,10
72,10
73,10
74,10
75,0
76,14
77,0
78,10
79,14
80,10
81,10
82,10
83,10
84,10
85,10
86,0
87,0
88,10
89,10
90,10
91,10
92,10
93,10
94,14
95,14
96,10
97,10
98,10
99,10
100,14
101,14
102,10
103,10
104,10
105,10
106,14
107,10
108,10
109,14
110,10
111,14
112,10
113,14
114,14
115,10
116,10
117,10
118,14
119,10
120,10
121,14
122,14
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,14
132,10
133,10
134,10
135,10
136,14
137,14
138,14
139,10
140,10
141,10
142,10
143,14
144,14
145,14
146,10
147,14
148,0
149,10
150,10
151,0
152,10
153,10
154,14
155,10
156,14
157,10
158,14
159,14
160,10
161,14
162,14
163,14
164,10
165,10
166,10
167,10
168,14
169,10
170,14
171,10
172,10
173,10
174,10
175,10
176,0
177,14
178,10
179,10
180,10
181,10
182,0
183,14
184,10
185,10
186,10
187,7
188,10
189,10
190,10
191,10
192,14
193,10
194,10
195,0
196,10
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,14
206,10
207,10
208,14
209,10
210,14
211,14
212,14
213,14
214,14
215,7
216,0
217,14
218,10
219,14
220,10
221,10
222,10
223,0
224,14
225,10
226,10
227,14
228,14
229,10
230,14
231,10
232,7
233,10
234,14
235,14
236,10
237,0
238,10
239,14
240,14
241,10
242,14
243,10
244,10
245,10
246,0
247,10
248,10
249,10
250,14
251,14
252,10
253,10
254,10
255,14
256,10
257,10
258,14
259,14
260,10
261,14
262,0
263,10
264,0
265,10
266,14
267,10
268,10
269,7
270,10
271,0
272,10
273,14
274,10
275,10
276,10
277,10
278,14
279,10
280,7
281,10
282,10
283,0
284,10
285,10
286,10
287,10
288,14
289,10
290,10
291,10
292,14
293,10
294,14
295,10
296,10
297,10
298,14
299,14
300,10
301,0
302,10
303,14
304,14
305,10
306,14
307,10
308,14
309,10
310,0
311,14
312,10
313,14
314,14
315,14
316,10
317,10
318,14
319,10
320,14
321,10
322,10
323,14
324,10
325,10
326,10
327,14
328,14
329,10
330,0
331,14
332,10
333,10
334,10
335,10
336,14
337,10
338,10
339,10
340,14
341,14
342,10
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,10
351,0
352,10
353,14
354,10
355,10
356,14
357,14
358,14
359,10
360,14
361,10
362,10
363,14
364,10
365,10
366,0
367,10
368,14
369,10
370,0
371,10
372,10
373,14
374,14
375,10
376,10
377,0
378,10
379,10
380,10
381,14
382,7
383,10
384,10
385,14
386,10
387,0
388,0
389,10
390,10
391,14
392,14
393,10
394,14
395,14
396,14
397,14
398,10
399,10
400,14
401,10
402,10
403,14
404,10
405,10
406,10
407,10
408,0
409,10
410,10
411,10
412,14
413,14
414,10
415,10
416,10
417,10
418,14
419,10
420,10
421,7
422,10
423,10
424,10
425,10
426,10
427,14
428,14
429,10
430,10
431,10
432,10
433,14
434,0
435,14
436,14
437,10
438,14
439,10
440,14
441,14
442,14
443,14
444,10
445,0
446,10
447,10
448,14
449,10
450,10
451,10
452,10
453,10
454,10
455,10
456,10
457,10
458,14
459,7
460,14
461,10
462,10
463,0
464,10
465,14
466,0
467,14
468,14
469,14
470,10
471,10
472,14
473,7
474,10
475,10
476,10
477,10
478,14
479,14
480,10
481,10
482,14
483,10
484,10
485,14
486,10
487,14
488,14
489,10
490,14
491,14
492,10
493,14
494,10
495,10
496,10
497,14
498,10
499,10
500,10
501,10
502,10
503,10
504,10
505,10
506,7
507,10
508,10
509,10
510,14
511,7
512,10
513,10
514,0
515,14
516,10
517,0
518,14
519,0
520,10
521,14
522,10
523,14
524,10
525,10
526,14
527,14
528,14
529,10
530,10
531,10
532,10
533,10
534,10
535,14
536,10
537,14
538,10
539,10
540,10
541,10
542,10
543,10
544,10
545,0
546,7
547,14
548,10
549,7
550,14
551,10
552,14
553,10
554,14
555,10
556,14
557,10
558,10
559,0
560,14
561,10
562,14
563,14
564,14
565,14
566,10
567,10
568,14
569,10
570,14
571,10
572,10
573,10
574,10
575,10
576,7
577,10
578,10
579,10
580,10
581,10
582,10
583,14
584,14
585,0
586,14
587,10
588,14
589,14
590,10
591,14
592,10
593,7
594,14
595,10
596,10
597,10
598,14
599,14
600,10
601,10
602,14
603,10
604,14
605,14
606,10
607,10
608,14
609,10
610,10
611,10
612,14
613,10
614,14
615,14
616,14
617,10
618,10
619,10
620,7
621,10
622,10
623,10
624,10
625,7
626,10
627,14
628,10
629,10
630,10
631,10
632,14
633,10
634,14
635,10
636,10
637,10
638,0
639,10
640,10
641,10
642,0
643,14
644,10
645,10
646,0
647,10
648,10
649,10
650,10
651,14
652,10
653,10
654,10
655,10
656,14
657,10
658,10
659,14
660,14
661,10
662,10
663,14
664,0
665,14
666,14
667,14
668,14
669,10
670,0
671,10
672,14
673,10
674,14
675,14
676,10
677,10
678,14
679,10
680,14
681,10
682,10
683,10
684,10
685,14
686,14
687,14
688,10
689,14
690,14
691,14
692,10
693,10
694,10
695,10
696,10
697,14
698,10
699,10
700,10
701,14
702,14
703,14
704,14
705,10
706,14
707,10
708,10
709,14
710,10
711,10
712,0
713,10
714,10
715,10
716,10
717,10
718,10
719,10
720,10
721,10
722,14
723,10
724,10
725,10
726,10
727,10
728,0
729,10
730,14
731,14
732,10
733,14
734,10
735,14
736,0
737,10
738,10
739,14
740,10
741,10
742,10
743,10
744,10
745,0
746,10
747,10
748,0
749,10
750,14
751,10
752,10
753,10
754,0
755,10
756,0
757,14
758,10
759,10
760,10
761,14
762,10
763,10
764,7
765,14
766,14
767,10
768,10
769,10
770,10
771,10
772,14
773,14
774,14
775,14
776,14
777,10
778,10
779,14
780,0
781,10
782,14
783,0
784,14
785,14
786,0
787,10
788,14
789,14
790,14
791,10
792,10
793,10
794,14
795,14
796,14
797,10
798,14
799,14
800,14
801,10
802,10
803,10
804,10
805,10
806,10
807,0
808,10
809,10
810,10
811,14
812,14
813,10
814,14
815,14
816,14
817,10
818,10
819,7
820,10
821,10
822,14
823,10
824,10
825,10
826,7
827,10
828,14
829,10
830,14
831,10
832,14
833,10
834,10
835,10
836,0
837,10
838,10
839,10
840,14
841,10
842,10
843,14
844,10
845,14
846,14
847,10
848,7
849,10
850,14
851,7
852,10
853,14
854,10
855,14
856,10
857,10
858,14
859,14
860,7
861,10
862,10
863,14
864,10
865,10
866,14
867,14
868,10
869,10
870,10
871,10
872,0
873,10
874,10
875,10
876,14
877,0
878,14
879,10
880,10
881,10
882,10
883,14
884,14
885,14
886,10
887,10
888,10
889,10
890,14
891,14
892,14
893,10
894,10
895,14
896,0
897,10
898,14
899,14
900,10
901,7
902,10
903,14
904,10
905,14
906,0
907,14
908,14
909,10
910,10
911,10
912,0
913,10
914,14
915,14
916,14
917,10
918,10
919,10
920,0
921,14
922,10
923,14
924,10
925,10
926,10
927,10
928,10
929,10
930,10
931,10
932,10
933,10
934,14
935,10
936,10
937,10
938,0
939,14
940,10
941,10
942,0
943,10
944,14
945,10
946,10
947,10
948,14
949,10
950,10
951,10
952,14
953,14
954,10
955,14
956,10
957,14
958,10
959,10
960,10
961,10
962,14
963,10
964,14
965,14
966,10
967,10
968,10
969,10
970,10
971,10
972,10
973,10
974,10
975,10
976,10
977,10
978,10
979,14
980,10
981,10
982,10
983,14
984,10
985,0
986,10
987,14
988,14
989,14
990,14
991,10
992,10
993,14
994,10
995,14
996,10
997,10
998,14
999,10
1000,14
1001,10
1002,0
1003,10
1004,10
1005,10
1006,0
1007,10
1008,14
1009,10
1010,14
1011,10
1012,10
1013,14
1014,14
1015,14
1016,0
1017,10
1018,10
1019,14
1020,0
1021,7
1022,14
1023,10
1024,10
1025,10
1026,10
1027,10
1028,10
1029,14
1030,10
1031,10
1032,14
1033,10
1034,10
1035,10
1036,14
1037,10
1038,10
1039,14
1040,10
1041,0
1042,14
1043,14
1044,14
1045,10
1046,10
1047,7
1048,7
1049,10
1050,10
1051,10
1052,10
1053,10
1054,10
1055,10
1056,10
1057,14
1058,14
1059,10
1060,0
1061,10
1062,14
1063,10
1064,10
1065,10
1066,14
1067,10
1068,14
1069,10
1070,10
1071,10
1072,10
1073,0
1074,10
1075,10
1076,10
1077,10
1078,10
1079,14
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,14
1087,10
1088,14
1089,14
1090,14
1091,10
1092,10
1093,14
1094,14
1095,14
1096,14
1097,10
1098,10
1099,14
1100,10
1101,10
1102,10
1103,14
1104,14
1105,10
1106,10
1107,14
1108,10
1109,10
1110,10
1111,10
1112,14
1113,14
1114,10
1115,10
1116,14
1117,14
1118,14
1119,10
1120,10
1121,10
1122,10
1123,10
1124,10
1125,14
1126,0
1127,7
1128,10
1129,10
1130,10
1131,14
1132,14
1133,14
1134,10
1135,0
1136,14
1137,10
1138,0
1139,10
1140,10
1141,10
1142,10
1143,10
1144,14
1145,10
1146,10
1147,10
1148,10
1149,14
1150,10
1151,10
1152,14
1153,10
1154,10
1155,14
1156,10
1157,10
1158,10
1159,14
1160,10
1161,10
1162,14
1163,10
1164,14
1165,10
1166,14
1167,10
1168,10
1169,10
1170,10
1171,10
1172,10
1173,14
1174,10
1175,14
1176,10
1177,14
1178,0
1179,10
1180,7
1181,14
1182,10
1183,14
1184,10
1185,10
1186,10
1187,7
1188,10
1189,10
1190,14
1191,10
1192,10
1193,10
1194,14
1195,14
1196,10
1197,10
1198,10
1199,10
1200,10
1201,14
1202,10
1203,10
1204,10
1205,10
1206,14
1207,14
1208,14
1209,10
1210,14
1211,7
1212,10
1213,0
1214,14
1215,14
1216,10
1217,10
1218,10
1219,10
1220,10
1221,0
1222,14
1223,10
1224,10
1225,10
1226,14
1227,14
1228,7
1229,10
1230,14
1231,14
1232,10
1233,14
1234,14
1235,10
1236,10
1237,10
1238,10
1239,10
1240,14
1241,10
1242,0
1243,14
1244,0
1245,14
1246,10
1247,10
1248,0
1249,10
1250,10
1251,14
1252,14
1253,10
1254,10
1255,14
1256,7
1257,10
1258,14
1259,10
1260,14
1261,10
1262,10
1263,14
1264,14
1265,10
1266,10
1267,14
1268,10
1269,10
1270,14
1271,10
1272,10
1273,10
1274,14
1275,10
1276,14
1277,14
1278,10
1279,7
1280,10
1281,10
1282,14
1283,10
1284,10
1285,10
1286,7
1287,10
1288,10
1289,14
1290,10
1291,10
1292,10
1293,10
1294,14
1295,14
1296,10
1297,14
1298,14
1299,10
1300,10
1301,10
1302,10
1303,10
1304,10
1305,14
1306,14
1307,14
1308,10
1309,10
1310,10
1311,10
1312,14
1313,10
1314,14
1315,10
1316,0
1317,14
1318,10
1319,7
1320,0
1321,10
1322,10
1323,10
1324,10
1325,10
1326,10
1327,14
1328,14
1329,0
1330,10
1331,10
1332,14
1333,0
1334,14
1335,14
1336,10
1337,0
1338,10
1339,10
1340,10
1341,10
1342,0
1343,14
1344,14
1345,10
1346,10
1347,14
1348,14
1349,14
1350,10
1351,10
1352,10
1353,10
1354,14
1355,14
1356,10
1357,10
1358,14
1359,14
1360,10
1361,10
1362,0
1363,10
1364,14
1365,10
1366,10
1367,10
1368,10
1369,14
1370,10
1371,10
1372,10
1373,10
1374,10
1375,10
1376,10
1377,10
1378,10
1379,10
1380,14
1381,10
1382,10
1383,14
1384,0
1385,14
1386,10
1387,14
1388,10
1389,14
1390,10
1391,10
1392,14
1393,14
1394,10
1395,10
1396,7
1397,10
1398,10
1399,10
1400,10
1401,14
1402,0
1403,10
1404,14
1405,10
1406,14
1407,14
1408,10
1409,10
1410,10
1411,10
1412,10
1413,7
1414,10
1415,10
1416,10
1417,10
1418,14
1419,10
1420,10
1421,10
1422,10
1423,10
1424,14
1425,14
1426,10
1427,14
1428,10
1429,10
1430,10
1431,10
1432,14
1433,10
1434,14
1435,10
1436,10
1437,10
1438,10
1439,7
1440,7
1441,14
1442,14
1443,10
1444,10
1445,14
1446,0
1447,10
1448,10
1449,10
1450,10
1451,10
1452,10
1453,10
1454,10
1455,10
1456,0
1457,14
1458,10
1459,14
1460,0
1461,10
1462,14
1463,10
1464,10
1465,10
1466,10
1467,10
1468,14
1469,10
1470,10
1471,10
1472,10
1473,10
1474,10
1475,14
1476,10
1477,10
1478,10
1479,10
1480,14
1481,14
1482,10
1483,14
1484,14
1485,10
1486,7
1487,10
1488,10
1489,10
1490,10
1491,14
1492,14
1493,10
1494,14
1495,10
1496,10
1497,10
1498,10
1499,0
1500,14
